LocalAuthorityName	SiteCode	SiteName	SiteType	DateClosed	DateOpened	Latitude	Longitude
Greenwich	GR4	Greenwich - Eltham	Suburban		1995-01-01 00:00:00	51.45258	0.070766
Bexley	GB6	Greenwich - Falconwood	Roadside		2000-10-18 09:15:00	51.4563	0.085606
Bexley	GB0	Greenwich - Falconwood FDMS	Roadside		2009-03-16 00:00:00	51.4563	0.085606
Greenwich	GN4	Greenwich - Fiveways Sidcup Rd A20	Roadside		2011-01-24 00:00:00	51.4346627060562	0.0642224671704697
Greenwich	GN6	Greenwich - John Harrison Way	Roadside		2018-07-02 00:00:00	51.4937746695818	0.0107796237032558
Greenwich	GN2	Greenwich - Millennium Village	Industrial	2016-10-20 00:00:00	2004-08-01 00:00:00	51.492571	0.017697
Greenwich	GN3	Greenwich - Plumstead High Street	Roadside		2006-01-27 00:00:00	51.486957	0.095111
Greenwich	GR5	Greenwich - Trafalgar Road	Roadside	2015-12-02 00:00:00	1996-11-27 00:00:00	51.4834490664601	-0.000145562683198809
Greenwich	GN5	Greenwich - Trafalgar Road (Hoskins St)	Roadside		2017-10-12 00:00:00	51.4839072533485	0.000407396935849736
Greenwich	TL4	Greenwich - Tunnel Avenue	Roadside		2020-12-04 00:00:00	51.495057	0.0041074676
Greenwich	GR9	Greenwich - Westhorne Avenue	Roadside		2004-10-01 00:00:00	51.456357	0.040725
Greenwich	GR8	Greenwich - Woolwich Flyover	Roadside		2004-07-08 00:00:00	51.486884	0.017901
Hackney	HN0	Hackney - Amhurst Road	Roadside	2022-07-18 00:00:00	2022-04-01 00:00:00	51.5500559909969	-0.0633016026789864
Hackney	HK4	Hackney - Clapton	Urban Background	2011-08-31 00:00:00	1993-10-08 16:15:00	51.558884	-0.056388
Hackney	HN1	Hackney - Homerton Library	Roadside	2022-07-18 00:00:00	2022-04-01 00:00:00	51.5487472103442	-0.0418806967224562
Hackney	HK6	Hackney - Old Street	Roadside		2000-05-31 23:00:00	51.526454	-0.08491
Hackney	HK9	Hackney - Queensbridge Road	Roadside	2022-07-18 00:00:00	2022-02-01 00:00:00	51.539324	-0.070078971
Hammersmith and Fulham	HF1	Hammersmith and Fulham - Broadway	Roadside	2009-01-20 00:00:00	1999-08-23 18:15:00	51.4927663395234	-0.223601338284455
Hammersmith and Fulham	HF2	Hammersmith and Fulham - Brook Green	Urban Background	2009-01-21 00:00:00	2003-07-28 12:00:00	51.4964961786764	-0.220502981077703
Hammersmith and Fulham	HF3	Hammersmith and Fulham - Scrubs Lane	Kerbside	2005-10-27 14:00:00	2005-03-30 12:00:00	51.5308895141056	-0.237011005357313
Hammersmith and Fulham	HF4	Hammersmith and Fulham - Shepherds Bush	Roadside	2017-10-27 00:00:00	2011-10-31 00:00:00	51.5045625671557	-0.224670007031603
Haringey	HG4	Haringey  - Priory Park South	Urban Background		2012-10-25 00:00:00	51.5839769007709	-0.125400278484885
Haringey	HG3	Haringey - Bounds Green	Roadside	2001-03-11 23:45:00	1999-06-21 00:15:00	51.6059499474804	-0.123441120322547
Haringey	HG1	Haringey - Haringey Town Hall	Roadside		1994-11-29 12:00:00	51.599302	-0.068218
Haringey	HG2	Haringey - Priory Park	Urban Background	2012-10-25 00:00:00	1996-03-29 00:00:00	51.586029	-0.126486
Harrow	HR2	Harrow - Pinner Road	Roadside	2023-07-31 00:00:00	2003-06-16 00:00:00	51.588417	-0.362989
Harrow	HR1	Harrow - Stanmore	Urban Background	2023-08-14 00:00:00	1999-04-10 10:00:00	51.617327	-0.298775
Havering	HV2	Havering - Harold Hill	Suburban	2000-11-12 14:45:00	1998-03-31 23:00:00	51.6065992159427	0.225359558329898
Havering	HV1	Havering - Rainham	Roadside		1995-12-08 00:00:00	51.520787459334	0.205460705694044
Havering	HV3	Havering - Romford	Roadside		1998-12-22 10:00:00	51.572976	0.179079
Hillingdon	LH2	Heathrow Airport	Industrial	2011-02-24 00:00:00	1999-01-01 00:00:00	51.4792338864893	-0.440530703282971
Hillingdon	LH0	Hillingdon - Harlington	Urban Background		2004-01-01 00:00:00	51.48878	-0.441627
Hillingdon	HI2	Hillingdon - Hillingdon Hospital	Roadside	2011-06-01 00:00:00	2002-09-25 11:30:00	51.526115	-0.459128
Hillingdon	HI0	Hillingdon - Keats Way	Suburban		1996-08-02 00:00:00	51.496309	-0.460826
Hillingdon	HI3	Hillingdon - Oxford Avenue	Roadside	2011-06-01 00:00:00	2005-03-01 12:00:00	51.481131839058	-0.423760323968
Hillingdon	HI1	Hillingdon - South Ruislip	Roadside	2011-06-01 00:00:00	1994-01-01 00:00:00	51.552264	-0.402779
Hounslow	HS1	Hounslow - Brentford	Roadside	2003-01-01 00:00:00	1993-04-01 00:00:00	51.489321	-0.310002
Hounslow	HS3	Hounslow - Brentford	Roadside	2003-01-01 00:00:00	1999-03-20 12:00:00	51.489321	-0.310002
Hounslow	HS5	Hounslow - Brentford	Roadside	2012-04-01 00:00:00	2003-06-02 13:00:00	51.489398	-0.310081
Hounslow	HS4	Hounslow - Chiswick High Road	Roadside	2012-04-01 00:00:00	1999-08-26 11:45:00	51.492507	-0.257252
Hounslow	HS2	Hounslow - Cranford	Suburban	2012-04-01 00:00:00	1999-01-02 18:00:00	51.482982	-0.411895
Hounslow	HS9	Hounslow - Feltham	Roadside	2012-04-01 00:00:00	2009-08-19 00:00:00	51.4473877655456	-0.408732837243793
Hounslow	HS7	Hounslow - Hatton Cross	Urban Background	2012-04-01 00:00:00	2006-01-05 00:00:00	51.463402	-0.427525
Hounslow	HS6	Hounslow - Heston Road	Roadside	2012-04-01 00:00:00	2006-04-13 00:00:00	51.479129	-0.36476
Hounslow	HS8	Hounslow and Ealing - Gunnersbury Avenue	Roadside	2015-02-09 00:00:00	2012-02-09 00:00:00	51.500676298573	-0.284383168481281
Islington	IS6	Islington - Arsenal	Urban Background		2007-03-14 00:00:00	51.557895	-0.106989
Islington	IS5	Islington - Duncan Terrace	Roadside	2009-03-11 00:00:00	2006-08-04 00:00:00	51.5322658877275	-0.104413186512037
Islington	IS4	Islington - Foxham Gardens	Urban Background	2009-03-11 00:00:00	2006-04-20 00:00:00	51.5600403385285	-0.131679425163847
Islington	IS2	Islington - Holloway Road	Roadside		2000-07-12 06:45:00	51.555378	-0.116146
Islington	IS1	Islington - Upper Street	Urban Background	2007-03-14 00:00:00	1994-05-13 01:00:00	51.5407003385595	-0.103269578193151
Kensington and Chelsea	KC2	Kensington and Chelsea - Cromwell Road	Roadside	2017-10-27 00:00:00	1998-05-10 20:00:00	51.49550391	-0.178809464
Kensington and Chelsea	KC5	Kensington and Chelsea - Earls Court Rd	Kerbside	2017-10-27 00:00:00	2002-05-01 00:00:00	51.49019756	-0.190863311
Kensington and Chelsea	KG2	Kensington and Chelsea - Green Screen BG	Urban Background	2014-10-31 00:00:00	2013-10-30 00:00:00	51.4894131144322	-0.193640886158949
